filename,result,frame,conf
crop_0013_f00016_c0.36_55-56min.jpg,,00016,0.36
crop_0051_f00059_c0.43_55-56min.jpg,,00059,0.43
crop_0054_f00060_c0.39_55-56min.jpg,,00060,0.39
crop_0061_f00064_c0.48_55-56min.jpg,,00064,0.48
crop_0065_f00066_c0.39_55-56min.jpg,,00066,0.39
crop_0088_f00128_c0.35_55-56min.jpg,,00128,0.35
crop_0131_f00166_c0.56_clip_20-23min.jpg,,00166,0.56
crop_0161_f00219_c0.70_55-56min.jpg,,00219,0.70
crop_0178_f00229_c0.70_55-56min.jpg,,00229,0.70
crop_0187_f00222_c0.54_clip_20-23min.jpg,,00222,0.54
crop_0189_f00235_c0.68_55-56min.jpg,,00235,0.68
crop_0191_f00236_c0.67_55-56min.jpg,,00236,0.67
crop_0198_f00240_c0.68_55-56min.jpg,,00240,0.68
crop_0209_f00248_c0.55_55-56min.jpg,,00248,0.55
crop_0228_f00261_c0.66_55-56min.jpg,,00261,0.66
crop_0229_f00277_c0.42_clip_20-23min.jpg,,00277,0.42
crop_0255_f00278_c0.42_55-56min.jpg,,00278,0.42
crop_0271_f00324_c0.55_clip_20-23min.jpg,,00324,0.55
crop_0284_f00392_c0.50_clip_20-23min.jpg,,00392,0.50
crop_0285_f00305_c0.45_55-56min.jpg,,00305,0.45
crop_0292_f00433_c0.44_clip_20-23min.jpg,,00433,0.44
crop_0318_f00340_c0.61_55-56min.jpg,,00340,0.61
crop_0326_f00344_c0.36_55-56min.jpg,,00344,0.36
crop_0326_f00449_c0.37_clip_20-23min.jpg,,00449,0.37
crop_0407_f00454_c0.41_55-56min.jpg,,00454,0.41
crop_0413_f00635_c0.35_clip_20-23min.jpg,,00635,0.35
crop_0440_f00477_c0.43_55-56min.jpg,,00477,0.43
crop_0447_f00479_c0.54_55-56min.jpg,,00479,0.54
crop_0451_f00482_c0.57_55-56min.jpg,,00482,0.57
crop_0457_f00485_c0.45_55-56min.jpg,,00485,0.45
crop_0476_f00505_c0.55_55-56min.jpg,,00505,0.55
crop_0501_f00519_c0.60_55-56min.jpg,,00519,0.60
crop_0541_f00533_c0.57_55-56min.jpg,,00533,0.57
crop_0563_f00539_c0.38_55-56min.jpg,,00539,0.38
crop_0569_f00541_c0.54_55-56min.jpg,,00541,0.54
crop_0600_f00552_c0.35_55-56min.jpg,,00552,0.35
crop_0666_f01239_c0.59_clip_20-23min.jpg,,01239,0.59
crop_0669_f01248_c0.44_clip_20-23min.jpg,,01248,0.44
crop_0689_f00617_c0.56_55-56min.jpg,,00617,0.56
crop_0696_f00621_c0.54_55-56min.jpg,,00621,0.54
