filename,label,vlm_response
crop_0013_f00016_c0.36_55-56min.jpg,fp,NO.
crop_0051_f00059_c0.43_55-56min.jpg,tp,YES.
crop_0054_f00060_c0.39_55-56min.jpg,fp,NO.
crop_0061_f00064_c0.48_55-56min.jpg,fp,NO.
crop_0065_f00066_c0.39_55-56min.jpg,tp,YES.
crop_0088_f00128_c0.35_55-56min.jpg,fp,NO.
crop_0131_f00166_c0.56_clip_20-23min.jpg,tp,YES.
crop_0161_f00219_c0.70_55-56min.jpg,tp,YES.
crop_0178_f00229_c0.70_55-56min.jpg,tp,YES.
crop_0187_f00222_c0.54_clip_20-23min.jpg,tp,YES.
crop_0189_f00235_c0.68_55-56min.jpg,tp,YES.
crop_0191_f00236_c0.67_55-56min.jpg,tp,YES.
crop_0198_f00240_c0.68_55-56min.jpg,tp,YES.
crop_0209_f00248_c0.55_55-56min.jpg,tp,YES.
crop_0228_f00261_c0.66_55-56min.jpg,tp,YES.
crop_0229_f00277_c0.42_clip_20-23min.jpg,tp,YES.
crop_0255_f00278_c0.42_55-56min.jpg,tp,YES.
crop_0271_f00324_c0.55_clip_20-23min.jpg,tp,YES.
crop_0284_f00392_c0.50_clip_20-23min.jpg,tp,YES.
crop_0285_f00305_c0.45_55-56min.jpg,fp,NO.
crop_0292_f00433_c0.44_clip_20-23min.jpg,tp,YES.
crop_0318_f00340_c0.61_55-56min.jpg,tp,YES.
crop_0326_f00344_c0.36_55-56min.jpg,tp,YES.
crop_0326_f00449_c0.37_clip_20-23min.jpg,fp,NO.
crop_0407_f00454_c0.41_55-56min.jpg,fp,NO.
crop_0413_f00635_c0.35_clip_20-23min.jpg,fp,NO.
crop_0440_f00477_c0.43_55-56min.jpg,fp,NO.
crop_0447_f00479_c0.54_55-56min.jpg,tp,YES.
crop_0451_f00482_c0.57_55-56min.jpg,fp,NO.
crop_0457_f00485_c0.45_55-56min.jpg,tp,YES.
crop_0476_f00505_c0.55_55-56min.jpg,fp,NO.
crop_0501_f00519_c0.60_55-56min.jpg,tp,YES.
crop_0541_f00533_c0.57_55-56min.jpg,fp,NO.
crop_0563_f00539_c0.38_55-56min.jpg,tp,YES.
crop_0569_f00541_c0.54_55-56min.jpg,tp,YES.
crop_0600_f00552_c0.35_55-56min.jpg,tp,YES.
crop_0666_f01239_c0.59_clip_20-23min.jpg,fp,NO.
crop_0669_f01248_c0.44_clip_20-23min.jpg,tp,YES.
crop_0689_f00617_c0.56_55-56min.jpg,tp,YES.
crop_0696_f00621_c0.54_55-56min.jpg,tp,YES.
crop_0700_f01322_c0.47_clip_20-23min.jpg,tp,YES.
crop_0704_f00624_c0.48_55-56min.jpg,tp,YES.
crop_0735_f00640_c0.41_55-56min.jpg,tp,YES.
crop_0775_f00656_c0.63_55-56min.jpg,tp,YES.
crop_0778_f00657_c0.57_55-56min.jpg,tp,YES.
crop_0787_f01843_c0.38_clip_20-23min.jpg,tp,YES.
crop_0858_f02127_c0.46_clip_20-23min.jpg,tp,YES.
crop_0859_f00877_c0.46_55-56min.jpg,tp,YES.
crop_0864_f00881_c0.44_55-56min.jpg,tp,YES.
crop_0864_f02129_c0.39_clip_20-23min.jpg,tp,YES.
crop_0865_f00882_c0.44_55-56min.jpg,fp,NO.
crop_0899_f02143_c0.48_clip_20-23min.jpg,tp,YES.
crop_0919_f00920_c0.37_55-56min.jpg,fp,NO.
crop_0933_f02185_c0.38_clip_20-23min.jpg,tp,YES.
crop_0938_f02202_c0.35_clip_20-23min.jpg,tp,YES.
crop_0940_f00936_c0.47_55-56min.jpg,tp,YES.
crop_0953_f02226_c0.39_clip_20-23min.jpg,tp,YES.
crop_1002_f02277_c0.37_clip_20-23min.jpg,tp,YES.
crop_1034_f00973_c0.46_55-56min.jpg,tp,YES.
crop_1093_f02362_c0.56_clip_20-23min.jpg,tp,YES.
crop_1096_f02363_c0.45_clip_20-23min.jpg,fp,NO.
crop_1098_f00995_c0.40_55-56min.jpg,fp,NO.
crop_1105_f02367_c0.72_clip_20-23min.jpg,fp,NO.
crop_1116_f01015_c0.42_55-56min.jpg,tp,YES.
crop_1130_f01027_c0.53_55-56min.jpg,tp,YES.
crop_1138_f02377_c0.50_clip_20-23min.jpg,fp,NO.
crop_1149_f01040_c0.42_55-56min.jpg,tp,YES.
crop_1185_f02409_c0.39_clip_20-23min.jpg,tp,YES.
crop_1206_f01247_c0.60_55-56min.jpg,tp,YES.
crop_1209_f01252_c0.59_55-56min.jpg,tp,YES.
crop_1232_f01281_c0.48_55-56min.jpg,fp,NO.
crop_1236_f01286_c0.49_55-56min.jpg,tp,YES.
crop_1266_f01359_c0.57_55-56min.jpg,tp,YES.
crop_1287_f01448_c0.59_55-56min.jpg,tp,YES.
crop_1292_f02551_c0.37_clip_20-23min.jpg,tp,YES.
crop_1328_f02593_c0.44_clip_20-23min.jpg,tp,YES.
